Key,English,Notes,Nynorsk
ACHIEVEMENT_500Days,The Will to Live,,Vilja til å leva
ACHIEVEMENT_500DaysDescription,Survive 500 days in a single Survival Mode game.,,Overlev i 500 dagar i eit overlevingsmodusspel.
ACHIEVEMENT_BigFish,It was THIS Big!,,Han var SO svær!
ACHIEVEMENT_BigFishDescription,Catch a fish weighing over 5kg (11 lbs).,,Fang ein fisk som veg over 5 kilo.
ACHIEVEMENT_Centurion,Centurion,,Centurion
ACHIEVEMENT_CenturtionDescription,Survive 100 days in a single Survival Mode game.,,Overlev i 100 dagar i eit overlevingsmodusspel.
ACHIEVEMENT_ChallengeMastery,Challenge Mastery,,Utfordringsmeistring
ACHIEVEMENT_ChallengeMasteryDescription,Complete every Challenge.,,Fullfør alle utfordringane.
ACHIEVEMENT_ColdOutThere,It's Getting Cold Out There,,Det byrjar å verta kaldt der ute
ACHIEVEMENT_ColdOutThereDescription,You survived 15 days in a single Sandbox mode game.,,Du overlevde i 15 dagar i eit spel i sandkassemodus.
ACHIEVEMENT_DeepForest,deep Forest,,Den djupe skogen
ACHIEVEMENT_DeepForestDescription,Keep a campfire burning for 3 days.,,Hald eit leirbål i gong i 3 dagar.
ACHIEVEMENT_DesolationPoint,desolation Point,,Einsemdneset
ACHIEVEMENT_DesolationPointDescription,Craft a full set of improvised Tools.,,Lag eit komplett sett med provisoriske reiskapar.
ACHIEVEMENT_EP1_LeavingTheOldWorldBehind,Leaving the Old World Behind,,Forlèt den gamle verda
ACHIEVEMENT_EP1_LeavingTheOldWorldBehindDescription,Leave Milton. Complete Episode One.,,Forlat Milton. Fullfør 1. episode.
ACHIEVEMENT_EP1_LosingAChildIsLike,Losing a Child is Like...,,Å missa ein unge er som …
ACHIEVEMENT_EP1_LosingAChildIsLikeDescription,Complete Lily's Story.,,Fullfør Lily sin historie.
ACHIEVEMENT_EP1_ParadiseLost,Paradise Lost,,Det tapte paradis
ACHIEVEMENT_EP1_ParadiseLostDescription,Make your way to Milton.,,Finn vegen til Milton.
ACHIEVEMENT_EP1_TheLongWinter,The Long Winter,,Den lange vinteren
ACHIEVEMENT_EP1_TheLongWinterDescription,Prepare Grey Mother for Winter.,,Hjelp Gråmor med førebuinga til vinteren.
ACHIEVEMENT_EP1_YourJourneyBegins,Your Journey Begins,,Reisa byrjar
ACHIEVEMENT_EP1_YourJourneyBeginsDescription,Escape the ravine after your crash.,,Kom deg ut av slukta etter flystyrten.
ACHIEVEMENT_EP2_FreightTrainOfHateAndHunger,Freight-Train of Hate & Hunger,,Godstog av hat og svolt
ACHIEVEMENT_EP2_FreightTrainOfHateAndHungerDescription,Kill the Old Bear.,,Drep den gamle bjørnen.
ACHIEVEMENT_EP2_GraduationDay,Graduation Day,,Skuleavslutning
ACHIEVEMENT_EP2_GraduationDayDescription,Complete Jeremiah's Survival School.,,Fullfør Jeremiah sitt overlevingskurs.
ACHIEVEMENT_EP2_LightsInTheSky,Lights in the Sky,,Ljosa på himmelen
ACHIEVEMENT_EP2_LightsInTheSkyDescription,Survive the first Aurora event.,,Overlev den fyrste nordljoshendinga.
ACHIEVEMENT_EP2_TheOldTrapper,The Old Trapper,,Den gamle pelsjegeren
ACHIEVEMENT_EP2_TheOldTrapperDescription,Bring Jeremiah back from near death.,,Redd Jeremiah frå den visse død.
ACHIEVEMENT_EP2_YouWillBeWithHerSoon,You'll Be With Her Soon,,Du treff ho snart
ACHIEVEMENT_EP2_YouWillBeWithHerSoonDescription,Leave Mystery Lake. Complete Episode Two.,,Forlat Løyndomsvatnet. Fullfør 2. episode.
ACHIEVEMENT_ExplorationGame,Exploration Game,,Utforskaren
ACHIEVEMENT_ExplorationGameDescription,Visit every interior location in both Mystery Lake and Coastal Highway (single game).,,Gå inn i alle bygg i både Løyndomsvatnet og Kystvegen (i eit spel).
ACHIEVEMENT_FaithfulCartographer,Faithful Cartographer,,Ein omhyggeleg kartograf
ACHIEVEMENT_FaithfulCartographerDescription,Map all named locations in Survival Mode.,,Kartlegg alle navngitte plassar i overlevingsmodus.
ACHIEVEMENT_FirstOfMany,The First of Many,,Den fyrste av mange
ACHIEVEMENT_FirstOfManyDescription,Survive 1 day in a single Survival Mode game.,,Overlev 1 dag i eit overlevingsmodusspel.
ACHIEVEMENT_HappyHarvester,Happy Harvester,,Den glade plantesamlaren
ACHIEVEMENT_HappyHarvesterDescription,Harvest 25 of each kind of plant (single game).,,Samla 25 av kvar plantetype (i eit spel).
ACHIEVEMENT_LivindOffLandDescription,Survive 25 consecutive full days only consuming calories harvestad from wild plants and animals (single game).,,Overlev 25 døger på rad berre på kaloriar frå ville plantar og dyr (i eit spel).
ACHIEVEMENT_LivingOffLand,Living Off the Land,,Sjølvberga
ACHIEVEMENT_MasterSurvivor,Master Survivor,,Ein meister i å overleve
ACHIEVEMENT_MasterSurvivorDescription,You survived 40 days in a single Sandbox mode game.,,Du overlevde 40 dagar i eit spel i sandkassemodus.
ACHIEVEMENT_NaturalHealer,Natural Healer,,Medisinmannen
ACHIEVEMENT_NaturalHealerDescription,Heal yourself using all types of natural medicines (single game).,,Helbred deg sjølv med alle de ulike naturmedisinene (i eitt spel).
ACHIEVEMENT_NightWalker,Night Walker,,Nattevandraren
ACHIEVEMENT_NightWalkerDescription,Survive an entire Night outside (single game).,,Overlev ei heil natt ute i det fri (i eitt spel).
ACHIEVEMENT_OneWithNature,One With Nature,,I eitt med naturen
ACHIEVEMENT_OneWithNatureDescription,You survived for 200 days in a single Survival Mode game.,,Du overlevde i 200 dagar i eit overlevingsmodusspel.
ACHIEVEMENT_Pacifist,Pacifist,,Pasifisten
ACHIEVEMENT_PacifistDescription,Survive the first 25 days without killing anything (single game).,,Overlev dei fyrste 25 dagene utan å drepe noko som helst (i eitt spel).
ACHIEVEMENT_PenitentScholar,Penitent Scholar,,Angrande vitskapsmann
ACHIEVEMENT_PenitentScholarDescription,Complete all Research books.,,Les ut alle bøkene.
ACHIEVEMENT_Platinum,Survive the Quiet Apocalypse,,Overlev den stille apokalypsen
ACHIEVEMENT_PlatinumDescription,"Whatever the future brings, you will be ready.",,"Uansett kva som skjer i framtida, so vil du vera klar."
ACHIEVEMENT_PrepThePreppers,You Prep the Preppers,,Prepperane sin læremeister
ACHIEVEMENT_PrepThePreppersDescription,You survived 30 days in a single Survival Mode game.,,Du overlevde 30 dagar i eitt spel i overlevingsmodus.
ACHIEVEMENT_ResoluteOutfitter,Resolute Outfitter,,Kledas meister
ACHIEVEMENT_ResoluteOutfitterDescription,Fill all clothing slots with 100% condition gear.,,"Ha klede på alle kledeplassane, samt må alle ha ei stand på 100%."
ACHIEVEMENT_SHTF,Ready for when the SHTF!,,Klar til at helvete brytar laust!
ACHIEVEMENT_SHTFDescription,Survive 50 days in a single Survival Mode game.,,Overlev 50 dagar i eitt spel i overlevingsmodus.
ACHIEVEMENT_SilentHunter,Silent Hunter,,Den stille jegeren
ACHIEVEMENT_SilentHunterDescription,Survive the first 50 days without firing any firearms (single game).,,Overlev dei 50 fyrste dagene utan å nytta nokre skytevåpen (i eitt spel).
ACHIEVEMENT_SkilledSurvivor,Skilled Survivor,,Ein som veit å overleva
ACHIEVEMENT_SkilledSurvivorDescription,Get all skills to level 5 in a single Survival Mode game.,,Få alle dugleikane i level 5 i eit overlevingsmodusspel.
ACHIEVEMENT_SM_FoundAllForestTalkerCaches,Sounds Like Some Kind of Indie Band,,Namnet høyrast ut som eit indieband
ACHIEVEMENT_SM_FoundAllForestTalkerCachesDescription,Find all Forest Talker caches.,,Finn alle oppbevaringane til Skogpratarane.
ACHIEVEMENT_SM_FoundAllHiddenCaches,Cache Mastery,,Oppbevaringsmeisteren
ACHIEVEMENT_SM_FoundAllHiddenCachesDescription,Find all hidDen caches in Episode One and Episode Two.,,Finn alle de skjulte oppbevaringane i 1. og 2. episode.
ACHIEVEMENT_SM_UnlockAllMiltonDepositBoxes,Too Big to Fail,,For stor til å mislykkast
ACHIEVEMENT_SM_UnlockAllMiltonDepositBoxesDescription,Open all Safety deposit boxes in Milton.,,Opn alle bankboksane i Milton.
ACHIEVEMENT_StarrySky,Beneath a Starry Sky,,Under stjernehimmelen
ACHIEVEMENT_StarrySkyDescription,Survive 3 consecutive Nights outside (single game).,,Overlev 3 netter på rad ute i det fri (i eitt spel).
ACHIEVEMENT_StoneAgeSniper,Stone-Age Sniper,,Skarpskyttar frå steinalderen
ACHIEVEMENT_StoneAgeSniperDescription,Stun a rabbit with a rock from over 25 meters (80 feet) away.,,Svimeslå ei kanin med ein stein frå meir enn 25 meters avstand.
ACHIEVEMENT_TasteTheImpossible,Face the Impossible,,Prøv deg på det umoglege
ACHIEVEMENT_TasteTheImpossibleDescription,Survive one day on Interloper difficulty.,,Overlev i ein dag på vanskelighetsgraDen Inntrengar.
ACHIEVEMENT_TimberwolfMountain,Timberwolf Mountain,,Vargafjellet
ACHIEVEMENT_TimberwolfMountainDescription,Climb to the top of Timberwolf Mountain.,,Klyv til topps på Vargafjellet.
ACHIEVEMENT_ToughAsNails,Tough as Nails,,Steinhard
ACHIEVEMENT_ToughAsNailsDescription,You survived 20 days in a single Survival Mode game.,,Du overlevde 20 dagar i eit overlevingsmodusspel.
ACHIEVEMENT_TrophySetDetails,The trophy set for The Long Dark.,Displayed as details when viewing additional information about the trophies in the PS4 dashboard.,Trofésettet for The Long Dark.
ACHIEVEMENT_TwoForTwo,Two For Two,,To av to
ACHIEVEMENT_TwoForTwoDescription,You survived for 2 days in a single Survival Mode game.,,Du overlevde 2 dagar i eitt spel i overlevingsmodus.
ACHIEVEMENT_WasteNotWantNot,"Waste Not, Want Not",,"Den som sparer, den har"
ACHIEVEMENT_WasteNotWantNotDescription,Harvest 10 Complete deer Carcasses (single game).,,Slakt 10 heile hjortekadaver (i eitt spel).
ACHIEVEMENT_WellNourished,Don't Starve,,Ikkje svolt
ACHIEVEMENT_WellNourishedDescription,Keep calorie store above zero for 10 days.,,Hald kalorireservane dine over null i 10 dagar.
ACHIEVEMENT_Wolfbait,Wolfbait,,Ulveåte
ACHIEVEMENT_WolfbaitDescription,You survived 5 days in a single Suvival Mode game.,,Du overlevde 5 dagar i eitt spel i overlevingsmodus.
ACHIEVEMENT_WrappedInFurs,Wrapped in Furs,,Pelskledd
ACHIEVEMENT_WrappedInFursDescription,"Sleep in a Bearskin Bedroll while wearing a Wolfskin Coat, deerskin Boots, and Rabbitskin Mittens.",,"Sov i ein bjørneskinnssovepose,medan du har på deg ulveskinnsjakke, hjorteskinnsstøvlar og vottar av kaninskinn."
ACHIEVEMENT_YouMadeIt,You Made It!,,Du klarte det!
ACHIEVEMENT_YouMadeItDescription,Survive 10 days in a single Survival Mode game.,,Overlev 10 dagar i eit overlevingsmodusspel.
BUFFER_BankA_1_FILENAME,diary_3.doc,Word processor: filename,dagbok_3.doc
BUFFER_BankA_1_TEXT,"After a long walk around town, I found myself in front of St. Christopher’s again. Even with Father McGill gone many months now, I still find some joy in tending what’s left of the back garden and sweeping out the dust from the Sanctuary. It warms my heart that several of us have banded together to keep the place feeling alive, at least for now. I know our little chores have eased the feeling of being left behind. Ah, Milton.","Journal/Diary/Word processor doc by Anika Longmire, Female, 41",
BUFFER_BankA_2_FILENAME,diary_4.doc,Word processor: filename,
BUFFER_BankA_2_TEXT,"With the weather turning cold again, and Jason gone more and more, I have been walking a lot. It is a balm to the slow, freezing, stillness that creeps up on us every year. And sometimes, with a gentle breeze pushing my hair back as I look down over the Basin, I don’t miss Mass at all. God is with us here, in this place.","Journal/Diary/Word processor doc by Anika Longmire, Female, 41",
BUFFER_BankA_3_FILENAME,diary_5.doc,Word processor: filename,
BUFFER_BankA_3_TEXT,"Jason left again this morning on another trip. Americans out of Anchorage this time. Here to see just how wild it gets on Great Bear. You would think they'd get enough of that at home. They will get all they can stomach, and maybe more, but at least they have the best guide on the Island to show them the way. I try not to cry when he leaves, but I always see something of our little family in his tired face. And when I do, his belief makes my own stronger. So I cried a little, just for a moment. This time Steph saw me getting upset which seems to bother her more and more as she gets older. Even at ten, her resolve and sharp eyes warm my heart. I see her father in her face, too.","Journal/Diary/Word processor doc by Anika Longmire, Female, 41",
BUFFER_BankA_4_FILENAME,diary6.doc,Word processor: filename,
BUFFER_BankA_4_TEXT,"I ran into Susan yesterday and asked her how the video chat sessions with Father McGill were going. She did not say much. But then again she didn’t come to our reading last week or the week before either. I know those of us left behind are not what she really wants, but it is all we have. I wish she could see that. It is so easy to be afraid of friends, and of love. And she has enough of her own grief after what happened. Out here, isolation can become its own special wound. I will check in on her again next week.","Journal/Diary/Word processor doc by Anika Longmire, Female, 41",
BUFFER_BankA_5_FILENAME,diary_7.doc,Word processor: filename,
BUFFER_BankA_5_TEXT,"I walked Steph to the schoolhouse this morning, and then went up to the park on my lunch break. I brought some cheese and an apple, and read a bit at the benches up there. It was cold and bright, at first. Great weather for eating and thinking. The basin looked gorgeous, in that way you see all over Great Bear, where each day’s horizon feels unique somehow.

As soon as I tossed my apple core over the edge, it started lightly snowing. A vast, grey haze had settled over the valley below. A wolf howled, but from somewhere far away. Even as things have changed over the last years, and neighbour and friends have moved to the Mainland, I still do not regret our choice to remain here. I think Steph is starting to see this and understand it too. There is something wild, hard, and stubborn growing in her, but also kind. I smile when I think about it, perhaps selfishly. Rejecting pride also means finding ways to leave control behind, and let others, even your own daughter, find her own way from time to time. A good day. I hope my apple sprouts a tree this spring.","Journal/Diary/Word processor doc by Anika Longmire, Female, 41",
BUFFER_BankA_USERNAME,"Longmire, Anika","""username"" field for BankA text editor memories",
BUFFER_CampOffice_1_FILENAME,LOG_UPLOAD(4).doc,,
BUFFER_CampOffice_1_TEXT,"Bear activity around the Mystery Lake Region is pronounced, although human interaction by all accounts is very rare. This is to be expected this time of year, and based on the available data we can make the following conclusions:",,
BUFFER_CampOffice_2_FILENAME,LOG_UPLOAD(9).doc,,
BUFFER_CampOffice_2_TEXT,Suggests adaptation to the new seasonal high temperatures. Recommend further study to confirm shift in migration. Previous observations confirm their presence.,,
BUFFER_CampOffice_3_FILENAME,LOG_UPLOAD(2).doc,,
BUFFER_CampOffice_3_TEXT,"What a time to be out here, Shari! I made the right decision. Observations are going well, and I hope to be done with research here on the southern end of the island by the end of the week. Locals tell me I should have through the end of the month before any weather starts getting in the way of my plans to head north. Tell Dr. Chase the data look promising wrt his publication date.",,
BUFFER_CampOffice_4_FILENAME,LOG_UPLOAD(11).doc,,
BUFFER_CampOffice_4_TEXT,"Predatory species, if introduced could see a profound devastation of Mystery Lake’s local fish stocks. We will need to follow up to check whether there are attempts to introduce these invasive species deliberately.",,
BUFFER_CampOffice_5_FILENAME,LOG_UPLOAD(3).doc,,
BUFFER_CampOffice_5_TEXT,"Will be expecting their return this winter, but end results remain unknown. I hope to gather additional data on this phenomenon next spring. Continued logging could be a factor to consider.",,
